"Type of place visited"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2324","1101","1223","203","413","336","435","535","402","1514","810","592","1732","1896","428","876","778","329","341","1236","177","258",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","142.7","71.6","71.2","30.4","28.2","21.3","17.5","22.7","22.7","83.4","59.3","37.3","105.5","108.7","34.0","50.2","52.3","18.7","21.5","77.2","16.0","16.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","67.6","36.2","31.4","16.8","13.8","11.7","8.3","8.5","8.5","35.2","32.3","16.7","50.9","49.3","18.3","24.4","25.1","8.9","9.1","40.8","8.6","6.9",
"","47.3%","50.6%","44.1%","55.2%","49.0%","54.8%","47.6%","37.5%","37.5%","42.2%","54.5%","44.7%","48.2%","45.3%","53.8%","48.7%","48.1%","47.7%","42.1%","52.9%","53.9%","41.2%",""

"Small town","37.1","16.2","20.9","8.3","7.8","4.6","4.5","6.2","5.8","21.9","15.2","10.5","26.6","27.3","9.7","12.1","12.3","5.0","7.7","17.9","4.9","5.5",
"","26.0%","22.6%","29.4%","27.4%","27.6%","21.5%","25.6%","27.2%","25.4%","26.2%","25.6%","28.1%","25.2%","25.1%","28.6%","24.1%","23.4%","26.8%","35.9%","23.1%","30.7%","32.9%",""

"Village","12.7","5.3","7.4","1.6","2.1","1.9","1.9","2.2","3.1","7.7","5.0","2.8","10.0","10.2","2.6","4.1","5.3","1.3","2.0","6.4","0.6","1.6",
"","8.9%","7.4%","10.4%","5.3%","7.4%","8.7%","10.8%","9.7%","13.7%","9.3%","8.4%","7.5%","9.4%","9.4%","7.5%","8.2%","10.1%","7.0%","9.4%","8.3%","3.7%","9.4%",""

"Rural countryside","19.8","9.8","10.0","3.0","3.9","2.6","2.3","4.8","3.2","14.1","5.8","5.5","14.4","17.0","2.8","7.6","7.0","2.6","2.6","9.9","2.1","2.0",
"","13.9%","13.7%","14.1%","9.9%","13.9%","12.4%","13.3%","20.9%","14.1%","16.9%","9.7%","14.7%","13.6%","15.7%","8.2%","15.2%","13.4%","13.7%","12.1%","12.8%","13.2%","12.2%",""

"Seaside resort or town","8.6","4.9","3.7","1.5","0.8","1.6","0.7","1.7","2.3","4.7","3.8","1.7","6.9","6.6","2.0","3.2","3.1","1.0","1.3","3.7","0.7","1.1",
"","6.0%","6.8%","5.2%","4.8%","2.9%","7.4%","4.0%","7.6%","10.1%","5.7%","6.5%","4.5%","6.5%","6.0%","5.9%","6.4%","5.9%","5.4%","5.8%","4.9%","4.5%","6.8%",""

"Seaside coastline - a beach","4.6","2.5","2.2","0.5","1.5","0.6","0.7","1.0","0.3","3.3","1.4","1.8","2.9","3.2","1.4","1.2","2.1","0.9","0.5","2.5","0.1","1.1",
"","3.2%","3.4%","3.1%","1.6%","5.4%","2.9%","3.9%","4.5%","1.3%","3.9%","2.3%","4.8%","2.7%","2.9%","4.3%","2.3%","4.0%","4.6%","2.3%","3.2%","0.5%","6.7%",""

"Other seaside coastline","1.8","1.2","0.6","0.1","0.5","0.1","0.2","0.7","0.3","1.1","0.7","0.2","1.6","1.4","0.4","0.6","0.7","0.1","0.4","0.8","0.1","0.2",
"","1.3%","1.6%","0.9%","0.2%","1.7%","0.2%","1.3%","3.2%","1.1%","1.4%","1.1%","0.6%","1.5%","1.3%","1.1%","1.2%","1.3%","0.5%","2.1%","1.0%","0.6%","0.9%",""
