"Type of place visited"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2419","1263","1156","226","447","307","378","468","593","1533","886","627","1792","2081","338","956","657","428","378","1324","162","195",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","137.8","67.8","69.9","27.5","29.6","17.6","17.4","23.0","22.8","79.1","58.7","40.7","97.1","114.5","23.3","45.0","39.7","29.3","23.7","77.2","14.8","15.2",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","63.6","31.2","32.3","12.2","14.9","8.0","8.2","10.0","10.2","36.9","26.6","19.6","44.0","52.2","11.3","20.1","19.1","12.9","11.4","36.5","6.1","7.4",
"","46.1%","46.0%","46.2%","44.4%","50.5%","45.8%","47.0%","43.7%","44.6%","46.7%","45.4%","48.2%","45.3%","45.6%","48.7%","44.7%","48.0%","44.1%","48.2%","47.2%","41.2%","48.7%",""

"Small town","37.6","19.5","18.2","10.2","7.5","4.0","4.2","5.6","6.2","18.6","19.0","11.7","25.9","31.0","6.7","11.7","10.3","9.4","6.2","20.3","6.1","4.3",
"","27.3%","28.7%","26.0%","37.0%","25.3%","22.6%","24.3%","24.4%","27.0%","23.5%","32.4%","28.8%","26.7%","27.0%","28.7%","26.1%","25.9%","32.0%","26.3%","26.3%","41.3%","28.3%",""

"Village","15.5","7.3","8.1","2.7","3.3","2.6","2.0","2.3","2.5","9.3","6.1","4.3","11.2","13.1","2.4","5.1","4.6","2.9","2.9","8.9","0.8","2.1",
"","11.2%","10.8%","11.7%","10.0%","11.1%","15.1%","11.3%","10.1%","11.0%","11.8%","10.4%","10.5%","11.5%","11.4%","10.2%","11.2%","11.6%","9.9%","12.1%","11.5%","5.3%","13.7%",""

"Rural countryside","17.1","8.6","8.5","2.0","3.3","2.9","2.8","3.4","2.7","10.7","6.4","4.1","13.0","15.5","1.6","6.4","4.3","5.1","1.4","9.7","1.9","1.9",
"","12.4%","12.6%","12.1%","7.3%","11.1%","16.3%","16.1%","14.9%","11.8%","13.5%","10.8%","10.0%","13.4%","13.5%","6.8%","14.1%","10.7%","17.3%","5.8%","12.6%","13.0%","12.5%",""

"Seaside resort or town","7.7","3.3","4.4","1.7","1.0","0.7","1.0","1.3","1.8","4.4","3.3","2.1","5.6","6.1","1.6","2.7","1.9","1.8","1.4","3.8","0.8","0.5",
"","5.6%","4.8%","6.3%","6.3%","3.5%","4.1%","5.9%","5.7%","8.0%","5.5%","5.7%","5.1%","5.8%","5.3%","7.0%","6.0%","4.7%","6.0%","5.9%","4.9%","5.2%","3.2%",""

"Seaside coastline - a beach","5.3","2.0","3.3","1.0","1.2","0.4","0.7","1.1","0.8","3.4","1.9","1.2","4.1","4.6","0.7","1.8","1.1","1.4","0.9","2.5","0.5","0.8",
"","3.8%","3.0%","4.7%","3.7%","4.2%","2.4%","4.0%","4.8%","3.6%","4.3%","3.2%","2.9%","4.2%","4.0%","2.9%","4.0%","2.9%","4.8%","4.0%","3.3%","3.0%","5.6%",""

"Other seaside coastline","1.9","1.3","0.6","1.0","0.3","-","0.2","0.4","-","0.3","1.5","0.7","1.2","1.7","0.2","0.8","0.6","0.2","0.3","0.5","0.3","0.4",
"","1.4%","1.9%","0.9%","3.5%","1.0%","","1.3%","1.6%","0.1%","0.4%","2.6%","1.7%","1.2%","1.5%","0.9%","1.8%","1.5%","0.7%","1.1%","0.6%","2.1%","2.3%",""
