"Type of place visited"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2412","1072","1340","204","364","362","402","567","513","1595","817","547","1865","2089","323","954","659","435","364","1304","184","184",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","142.0","62.4","79.6","23.8","23.0","24.9","17.2","25.8","27.5","85.1","56.9","33.8","108.2","120.1","21.9","50.1","41.9","24.8","25.2","78.1","16.8","10.8",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","61.1","28.3","32.9","11.6","10.2","9.5","8.0","11.5","10.3","35.4","25.7","15.6","45.5","50.5","10.6","22.9","18.6","10.0","9.7","33.8","8.7","4.8",
"","43.1%","45.2%","41.3%","48.9%","44.5%","38.3%","46.3%","44.6%","37.5%","41.6%","45.2%","46.2%","42.1%","42.1%","48.4%","45.7%","44.4%","40.2%","38.3%","43.3%","51.4%","44.3%",""

"Small town","38.6","17.0","21.6","6.4","7.4","7.5","4.2","6.8","6.3","23.6","15.0","10.3","28.4","32.4","6.3","11.9","12.0","7.6","7.1","21.2","4.9","4.0",
"","27.2%","27.3%","27.1%","26.8%","32.2%","30.2%","24.4%","26.4%","23.1%","27.8%","26.4%","30.4%","26.2%","27.0%","28.6%","23.7%","28.8%","30.7%","28.1%","27.1%","28.8%","36.7%",""

"Village","16.8","6.9","9.9","2.9","2.9","3.2","2.2","2.6","3.0","9.4","7.4","3.8","13.0","14.7","2.1","4.6","4.8","3.7","3.7","9.9","1.1","1.2",
"","11.8%","11.1%","12.4%","12.0%","12.8%","12.8%","13.0%","10.0%","10.9%","11.0%","13.1%","11.3%","12.0%","12.3%","9.4%","9.2%","11.6%","14.8%","14.6%","12.7%","6.8%","11.0%",""

"Rural countryside","21.5","10.2","11.3","4.2","3.3","3.4","2.1","3.8","4.7","14.0","7.4","4.2","17.3","18.7","2.8","8.5","5.9","4.1","3.0","11.6","2.4","1.4",
"","15.1%","16.3%","14.2%","17.6%","14.3%","13.8%","12.1%","14.8%","17.1%","16.5%","13.0%","12.3%","16.0%","15.6%","12.6%","16.9%","14.1%","16.4%","11.9%","14.9%","14.2%","12.5%",""

"Seaside resort or town","7.2","3.0","4.2","0.4","1.0","1.4","0.8","1.0","2.6","4.8","2.3","2.0","5.1","6.2","1.0","2.9","1.9","1.5","0.8","4.0","0.3","0.2",
"","5.0%","4.8%","5.2%","1.6%","4.5%","5.7%","4.4%","3.7%","9.5%","5.7%","4.1%","6.0%","4.8%","5.2%","4.4%","5.9%","4.6%","6.1%","3.1%","5.2%","1.9%","2.3%",""

"Seaside coastline - a beach","4.6","2.3","2.3","0.4","1.1","0.3","0.8","0.6","1.4","2.7","2.0","1.0","3.7","3.9","0.8","2.2","0.9","0.7","0.8","2.3","0.5","0.1",
"","3.3%","3.7%","2.9%","1.8%","4.6%","1.3%","4.5%","2.5%","5.2%","3.1%","3.5%","2.9%","3.4%","3.2%","3.5%","4.5%","2.2%","3.0%","3.0%","3.0%","3.0%","1.4%",""

"Other seaside coastline","2.0","1.4","0.6","0.3","0.5","0.3","0.2","0.3","0.4","1.0","1.0","0.5","1.5","1.5","0.5","0.6","0.8","0.2","0.4","1.0","0.3","0.1",
"","1.4%","2.2%","0.8%","1.3%","2.2%","1.0%","1.1%","1.3%","1.4%","1.2%","1.8%","1.5%","1.4%","1.3%","2.1%","1.1%","2.0%","0.9%","1.5%","1.3%","1.8%","0.8%",""
