"Type of place visited"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2536","1280","1256","315","620","423","487","372","319","1709","827","621","1915","2157","379","1041","761","359","375","1721","213","651",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","154.3","71.4","82.9","30.5","28.2","23.5","28.2","21.9","21.9","98.3","55.9","38.3","116","128","26.3","51.7","51.3","29.6","21.6","100.8","17.1","39.3",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","65.1","29.4","35.7","13.8","13","9.4","13.2","8.9","6.7","39.3","25.8","16.9","48.1","51.8","13.2","23","20.4","13","8.7","43.3","9.1","14.2",
"","42.2%","41.2%","43%","45.4%","46.1%","40.1%","46.7%","40.5%","30.7%","39.9%","46.2%","44.3%","41.5%","40.5%","50.2%","44.4%","39.7%","43.8%","40.4%","43%","53.1%","36.2%",""

"Small town","43.4","20.1","23.3","7.9","8.1","7","7.2","4.1","9.2","28.1","15.3","10.5","32.9","37.2","6.2","14.5","13.5","8.2","7.2","28.1","3.7","12.2",
"","28.1%","28.1%","28.1%","25.8%","28.7%","29.6%","25.4%","18.7%","41.9%","28.5%","27.4%","27.5%","28.3%","29.1%","23.5%","28%","26.4%","27.6%","33.3%","27.9%","21.8%","31.1%",""

"Village","18.1","8.6","9.4","4.4","4","2.7","2.8","2","2.1","11.5","6.6","5.5","12.6","15.7","2.4","5.1","7.1","4.1","1.8","12.4","2","4",
"","11.7%","12.1%","11.4%","14.3%","14.1%","11.6%","10.1%","9.3%","9.6%","11.7%","11.7%","14.4%","10.8%","12.3%","9%","9.9%","13.8%","13.8%","8.4%","12.3%","11.7%","10.2%",""

"Rural countryside","24.1","12.2","11.9","3.9","3.6","3.8","4.2","4.9","3.7","16.5","7.6","4","20.1","20.4","3.7","9","8.7","2.9","3.4","15.3","2.1","7",
"","15.6%","17%","14.4%","12.8%","12.9%","16%","14.8%","22.3%","16.8%","16.8%","13.5%","10.4%","17.3%","16%","13.9%","17.5%","16.9%","9.9%","15.9%","15.2%","12.6%","17.8%",""

"Seaside resort or town","9.9","5","4.9","1.8","1.8","0.8","2.1","2","1.2","6.8","3.1","3.1","6.8","8.5","1.3","2.9","3.1","3.2","0.7","6.2","1.1","2.8",
"","6.4%","7%","5.9%","6%","6.5%","3.6%","7.6%","9.2%","5.5%","6.9%","5.5%","8%","5.9%","6.7%","5.1%","5.6%","6.1%","10.8%","3.1%","6.2%","6.2%","7%",""

"Seaside coastline - a beach","6.9","3.4","3.6","1.1","1.7","1.1","1.3","1.1","0.5","4.4","2.6","2.4","4.6","5.9","1.1","1.8","2.3","1.7","1.2","4.9","0.6","1.6",
"","4.5%","4.7%","4.3%","3.8%","6%","4.7%","4.7%","5.2%","2.5%","4.4%","4.6%","6.2%","3.9%","4.6%","4.1%","3.4%","4.4%","5.8%","5.5%","4.9%","3.3%","4%",""

"Other seaside coastline","2.2","1.3","0.8","0.3","0.2","0.2","0.5","0.5","0.5","1.5","0.7","0.2","1.9","1.9","0.2","0.8","0.9","0.2","0.3","1.1","0.4","0.7",
"","1.4%","1.9%","1%","0.9%","0.8%","0.7%","1.9%","2.1%","2.3%","1.5%","1.2%","0.6%","1.7%","1.5%","0.8%","1.6%","1.7%","0.7%","1.2%","1.1%","2.1%","1.7%",""

"Other","3.4","1.5","1.9","0.4","0.4","0.6","0.6","0.7","0.7","2.7","0.7","1.1","2.3","2.5","0.8","1.3","0.8","0.7","0.5","1.5","0.5","1.5",
"","2.2%","2%","2.3%","1.4%","1.4%","2.7%","2.1%","3%","3.1%","2.7%","1.3%","2.8%","2%","2%","3.1%","2.5%","1.6%","2.5%","2.3%","1.5%","2.9%","3.9%",""
