"Type of place visited"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2470","1197","1273","179","444","373","411","529","534","1573","897","674","1796","2081","389","850","656","426","538","1400","138","254",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","133.6","62.2","71.4","24.5","24.9","19.7","17.4","23.3","23.9","78.0","55.6","42.9","90.8","110.4","23.3","36.1","35.9","27.1","34.5","74.4","13.6","16.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","58.7","28.3","30.5","11.5","11.0","9.4","8.0","9.9","8.7","34.3","24.5","19.1","39.6","47.3","11.4","16.9","14.4","11.8","15.7","35.4","6.1","6.8",
"","44.0%","45.5%","42.7%","47.2%","44.4%","48.0%","46.4%","42.6%","36.5%","43.9%","44.0%","44.6%","43.7%","42.9%","49.1%","46.8%","40.1%","43.4%","45.4%","47.5%","44.6%","40.8%",""

"Small town","36.5","17.1","19.4","6.1","7.1","5.7","4.8","6.4","6.4","22.9","13.6","12.5","24.0","30.2","6.2","7.8","10.0","8.7","10.0","20.0","3.0","5.4",
"","27.3%","27.5%","27.1%","24.9%","28.5%","29.0%","27.8%","27.4%","26.7%","29.3%","24.4%","29.1%","26.4%","27.4%","26.9%","21.6%","27.9%","32.0%","28.8%","26.9%","22.2%","32.1%",""

"Village","16.3","6.8","9.5","4.4","2.4","2.4","1.9","2.1","3.0","8.5","7.8","5.3","10.9","13.5","2.7","4.2","4.6","3.2","4.2","8.0","2.3","2.2",
"","12.2%","10.9%","13.3%","18.2%","9.7%","12.1%","10.9%","9.0%","12.7%","10.9%","14.0%","12.5%","12.0%","12.3%","11.7%","11.7%","12.8%","11.7%","12.3%","10.8%","16.6%","13.3%",""

"Rural countryside","18.7","8.4","10.3","3.0","2.8","2.1","2.4","3.6","4.6","11.7","6.9","4.9","13.8","16.3","2.4","5.4","4.7","4.4","4.2","9.5","2.0","1.5",
"","14.0%","13.5%","14.4%","12.3%","11.4%","10.7%","14.1%","15.6%","19.3%","15.0%","12.4%","11.4%","15.2%","14.7%","10.2%","15.0%","13.1%","16.0%","12.1%","12.8%","14.7%","8.8%",""

"Seaside resort or town","9.0","4.3","4.6","1.2","1.2","0.8","1.4","1.2","3.2","4.8","4.2","2.3","6.7","8.0","1.0","2.2","1.8","1.9","3.0","3.6","0.8","1.3",
"","6.7%","6.9%","6.5%","4.9%","4.7%","4.1%","8.2%","5.0%","13.3%","6.1%","7.6%","5.3%","7.4%","7.2%","4.2%","6.1%","5.1%","7.1%","8.8%","4.9%","5.7%","7.6%",""

"Seaside coastline - a beach","6.7","3.7","3.0","1.5","1.4","1.0","0.6","1.1","1.1","2.9","3.8","2.2","4.5","5.2","1.5","2.7","1.8","0.9","1.4","3.6","0.8","1.3",
"","5.0%","6.0%","4.2%","5.9%","5.8%","5.0%","3.4%","4.8%","4.6%","3.7%","6.9%","5.1%","5.0%","4.7%","6.5%","7.4%","5.0%","3.1%","4.1%","4.8%","5.8%","7.8%",""

"Other seaside coastline","1.4","0.6","0.8","0.1","0.3","0.2","0.1","0.5","0.2","1.0","0.4","0.6","0.8","1.4","-","0.4","0.4","0.4","0.2","0.7","-","0.2",
"","1.1%","1.0%","1.1%","0.6%","1.1%","1.1%","0.4%","2.1%","0.8%","1.3%","0.6%","1.4%","0.9%","1.2%","0.2%","1.0%","1.1%","1.5%","0.6%","1.0%","","1.4%",""
