"Type of place visited"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2403","1082","1321","226","511","394","492","417","363","1560","843","650","1753","1978","425","851","730","381","441","1385","174","887",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","142.5","66.1","76.4","24.9","24.3","20.3","24.8","21.3","26.8","86.8","55.7","36.2","106.3","115","27.5","44.7","46","26.8","25","78.3","14.9","53.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","68.4","31.9","36.5","15","11.7","9.6","11.7","9.8","10.7","38.1","30.2","16.3","52.1","53.4","14.9","21","22.9","14","10.3","39.3","8.5","23.2",
"","48%","48.2%","47.8%","60%","48.3%","47.1%","47%","45.8%","39.8%","43.9%","54.3%","45.1%","49%","46.5%","54.2%","47.1%","49.9%","52.4%","41.3%","50.2%","56.9%","43.7%",""

"Small town","37.4","16.7","20.7","6.4","6.3","5.4","6.3","5.4","7.6","24.7","12.7","10.7","26.8","31.1","6.3","12.2","11.4","6.6","7.2","20.2","3.1","14.7",
"","26.3%","25.2%","27.2%","25.8%","25.8%","26.6%","25.4%","25.1%","28.5%","28.4%","22.9%","29.4%","25.2%","27.1%","22.9%","27.4%","24.7%","24.6%","28.9%","25.9%","21.1%","27.8%",""

"Village","16.7","8.5","8.3","1.8","3.7","2.4","2.9","2.9","3.2","11.4","5.3","4.4","12.4","14.3","2.5","5.3","5.2","3.1","3.2","10","1.2","5.9",
"","11.8%","12.8%","10.8%","7.1%","15.2%","11.6%","11.6%","13.4%","11.9%","13.2%","9.6%","12.1%","11.6%","12.4%","9%","11.9%","11.3%","11.5%","12.6%","12.8%","8.1%","11.2%",""

"Rural countryside","20.7","10.7","10","3.3","3.1","3.5","3.8","3.1","3.9","13.6","7.1","5.9","14.8","16.7","4","7.5","6.3","3.2","3.8","11.9","1.7","7.3",
"","14.5%","16.2%","13.1%","13.3%","12.9%","17%","15.2%","14.8%","14.5%","15.7%","12.7%","16.4%","13.9%","14.5%","14.5%","16.7%","13.7%","12%","15%","15.2%","11.4%","13.8%",""

"Seaside resort or town","8.8","3.9","4.9","1","1.5","0.6","1.7","1.6","2.3","5.4","3.4","1.7","7.1","7.6","1.2","2.9","2.4","1.6","1.8","4","1.2","3.9",
"","6.2%","5.9%","6.4%","4%","6%","3.1%","6.9%","7.7%","8.7%","6.2%","6.1%","4.6%","6.7%","6.6%","4.4%","6.5%","5.3%","5.9%","7.3%","5.1%","8.1%","7.3%",""

"Seaside coastline - a beach","5","2.7","2.3","1.3","1.3","0.6","0.8","0.6","0.5","3.7","1.4","1.8","3.2","4.2","0.8","1.4","1","1","1.6","3.2","0.6","1.5",
"","3.5%","4%","3.1%","5.2%","5.2%","2.7%","3.2%","2.7%","2%","4.2%","2.4%","4.9%","3%","3.7%","2.9%","3.2%","2.3%","3.6%","6.4%","4.1%","3.8%","2.8%",""

"Other seaside coastline","2.9","1.1","1.7","0.4","0","0.3","0.2","1","0.9","1.8","1.1","0.1","2.7","2.2","0.7","0.7","1.1","0.1","0.9","1","0.4","1.7",
"","2%","1.7%","2.3%","1.5%","0.1%","1.6%","0.8%","4.9%","3.3%","2%","2%","0.4%","2.6%","1.9%","2.5%","1.7%","2.3%","0.4%","3.8%","1.3%","2.5%","3.2%",""

"Other","2.4","0.8","1.6","0.4","0.4","0.5","0.4","0.2","0.5","1.3","1.1","0.9","1.5","1.9","0.5","0.6","0.6","0.6","0.5","1","0.2","1.2",
"","1.7%","1.2%","2%","1.5%","1.6%","2.5%","1.5%","1%","1.9%","1.5%","2%","2.5%","1.4%","1.7%","1.6%","1.4%","1.4%","2.3%","2%","1.2%","1.2%","2.3%",""
