"Type of place visited"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2391","994","1397","181","396","353","471","569","421","1549","842","576","1815","1977","414","886","749","363","393","1357","127","215",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","146.2","69.5","76.6","27.7","20.7","23.9","20.3","26.8","26.7","84.4","61.8","36.1","110.1","116.2","30.0","53.6","46.7","21.0","25.0","82.7","12.4","12.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Type of place visited","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"City/large town","68.0","32.0","36.0","13.6","10.3","12.8","8.9","12.7","9.8","38.8","29.2","17.9","50.1","51.9","16.2","24.9","20.7","9.1","13.3","40.8","6.0","6.3",
"","46.5%","46.1%","46.9%","49.0%","49.5%","53.4%","44.1%","47.2%","36.6%","46.0%","47.2%","49.5%","45.5%","44.6%","53.8%","46.5%","44.4%","43.2%","53.4%","49.3%","48.4%","50.0%",""

"Small town","39.9","19.2","20.6","6.8","5.7","6.2","5.7","7.1","8.4","23.6","16.3","10.5","29.4","32.9","7.0","15.1","12.8","6.4","5.6","21.9","3.0","3.2",
"","27.3%","27.7%","26.9%","24.6%","27.7%","25.7%","27.8%","26.4%","31.5%","27.9%","26.4%","29.0%","26.7%","28.3%","23.3%","28.2%","27.4%","30.4%","22.5%","26.4%","24.1%","25.5%",""

"Village","14.1","6.5","7.6","3.1","2.6","1.8","1.7","2.2","2.8","8.7","5.4","3.2","10.9","12.0","2.1","5.4","4.2","2.3","2.2","9.0","0.4","1.0",
"","9.6%","9.3%","9.9%","11.1%","12.3%","7.4%","8.6%","8.0%","10.4%","10.3%","8.7%","8.9%","9.9%","10.3%","6.8%","10.0%","9.1%","10.8%","8.8%","10.9%","3.1%","8.0%",""

"Rural countryside","21.3","10.7","10.6","4.7","2.4","2.3","2.8","4.5","4.6","12.7","8.6","4.3","17.0","17.4","3.9","7.2","8.1","3.1","2.9","9.8","3.1","1.9",
"","14.6%","15.4%","13.8%","17.1%","11.5%","9.8%","13.7%","16.6%","17.2%","15.1%","13.9%","11.8%","15.5%","15.0%","13.0%","13.5%","17.3%","14.6%","11.6%","11.9%","25.4%","14.9%",""

"Seaside resort or town","9.5","5.5","4.0","1.8","0.7","1.1","1.4","2.4","2.1","5.3","4.2","1.4","8.0","8.5","1.0","4.5","2.8","0.9","1.2","4.7","1.1","0.4",
"","6.5%","7.9%","5.2%","6.4%","3.5%","4.5%","6.8%","8.9%","8.0%","6.2%","6.8%","4.0%","7.3%","7.3%","3.3%","8.4%","6.1%","4.4%","4.9%","5.7%","8.5%","3.2%",""

"Seaside coastline - a beach","5.1","1.8","3.3","0.9","0.4","0.8","0.9","1.2","0.9","3.5","1.6","0.6","4.5","4.4","0.7","1.9","1.5","0.7","1.0","2.3","1.0","0.6",
"","3.5%","2.6%","4.3%","3.2%","1.9%","3.2%","4.5%","4.5%","3.5%","4.2%","2.6%","1.8%","4.1%","3.8%","2.2%","3.5%","3.3%","3.3%","3.9%","2.8%","7.8%","4.7%",""

"Other seaside coastline","2.5","1.4","1.1","1.3","0.1","0.5","0.3","0.3","-","0.7","1.8","0.1","2.5","2.0","0.6","1.4","0.6","0.4","0.2","2.1","-","0.2",
"","1.7%","2.0%","1.5%","4.7%","0.4%","1.9%","1.7%","1.2%","0.1%","0.9%","2.9%","0.2%","2.2%","1.7%","1.9%","2.6%","1.2%","1.8%","0.7%","2.5%","","1.5%",""
