"month","total","male","female","16-24","25-34","35-44","45-54","55-64","65+","yes","no","a","b","c1","c2","d","e",
"jan 2009","590","339","251","39","134","74","202","75","66","144","445","60","193","171","96","38","32",
"feb 2009","647","397","250","87","91","165","163","67","74","176","471","18","253","194","96","37","50",
"mar 2009","750","484","266","116","112","169","164","102","87","211","539","12","233","230","160","69","45",
"apr 2009","1128","561","567","136","154","392","150","154","142","419","709","62","346","356","177","125","61",
"may 2009","1355","687","668","159","369","236","281","204","106","444","911","128","370","402","287","101","66",
"jun 2009","907","454","453","87","150","195","166","185","122","252","655","57","264","273","131","121","61",
"jul 2009","1391","672","719","167","211","358","234","258","162","450","941","62","430","394","244","120","141",
"aug 2009","1594","723","870","88","179","483","448","191","205","637","956","130","504","485","212","187","75",
"sep 2009","1205","590","615","105","174","272","272","233","149","280","925","107","408","292","167","173","58",
"oct 2009","941","466","475","75","142","193","155","221","156","243","698","58","259","307","154","103","58",
"nov 2009","617","360","257","45","115","146","99","110","102","124","493","63","212","170","100","30","41",
"dec 2009","917","436","481","122","198","189","155","121","132","276","640","48","143","388","160","135","42",
