,year,type,activity,married,not married,place
86,2016,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.0,2.3,
87,2016,activity,"went on days out to a beauty/health centre/spa, etc.",1.5,0.5,
88,2016,activity,went on general days out/ to explore an area,12.5,6.6,
89,2016,activity,went on day trips/excursions for another leisure purpose not mentioned above,7.3,4.4,
90,2017,activity,visited friends or family for leisure,23.4,25.7,
91,2017,activity,'special' shopping for items that you do not regularly buy,12.0,8.6,
92,2017,activity,went out for a meal,21.4,17.1,
93,2017,activity,"went on a night out to a bar, pub and/or club",11.1,11.7,
94,2017,activity,"went out for entertainment – to a cinema, concert or theatre",7.4,7.6,
95,2017,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",20.5,14.1,
96,2017,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",4.6,4.8,
97,2017,activity,"took part in sports, including exercise classes, going to the gym",4.4,5.9,
98,2017,activity,watched live sporting event (not on tv),6.0,5.7,
99,2017,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",7.3,7.1,
100,2017,activity,"went to a special public event such as a festival, exhibition, etc.",4.2,5.8,
101,2017,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",3.4,3.0,
102,2017,activity,"went on days out to a beauty/health centre/spa, etc.",1.3,2.5,
103,2017,activity,went on general days out/ to explore an area,14.5,10.6,
104,2017,activity,went on day trips/excursions for another leisure purpose not mentioned above,4.4,4.8,
105,2018,activity,visited friends or family for leisure,24.8,20.3,
106,2018,activity,'special' shopping for items that you do not regularly buy,11.0,6.6,
107,2018,activity,went out for a meal,23.5,13.9,
108,2018,activity,"went on a night out to a bar, pub and/or club",10.7,8.0,
109,2018,activity,"went out for entertainment – to a cinema, concert or theatre",7.9,5.4,
110,2018,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",15.5,9.8,
111,2018,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",3.3,5.6,
112,2018,activity,"took part in sports, including exercise classes, going to the gym",5.4,3.3,
113,2018,activity,watched live sporting event (not on tv),7.3,3.9,
114,2018,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.7,5.0,
115,2018,activity,"went to a special public event such as a festival, exhibition, etc.",4.1,2.6,
116,2018,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.5,2.4,
117,2018,activity,"went on days out to a beauty/health centre/spa, etc.",1.8,0.7,
118,2018,activity,went on general days out/ to explore an area,14.5,10.8,
119,2018,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.9,4.3,
120,2019,activity,visited friends or family for leisure,27.0,21.7,
121,2019,activity,'special' shopping for items that you do not regularly buy,12.6,7.1,
122,2019,activity,went out for a meal,18.8,14.4,
123,2019,activity,"went on a night out to a bar, pub and/or club",9.4,8.4,
124,2019,activity,"went out for entertainment – to a cinema, concert or theatre",7.0,5.7,
125,2019,activity,"undertook outdoor leisure activities such as walking, cycling, golf, etc.",16.5,13.4,
126,2019,activity,"took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)",5.1,5.6,
127,2019,activity,"took part in sports, including exercise classes, going to the gym",4.4,3.0,
128,2019,activity,watched live sporting event (not on tv),7.4,5.1,
129,2019,activity,"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",8.4,4.7,
130,2019,activity,"went to a special public event such as a festival, exhibition, etc.",3.7,4.6,
131,2019,activity,"went to a special event of a personal nature such as a wedding, graduation, christening, etc.",2.5,3.4,
132,2019,activity,"went on days out to a beauty/health centre/spa, etc.",3.6,1.3,
133,2019,activity,went on general days out/ to explore an area,12.8,11.0,
134,2019,activity,went on day trips/excursions for another leisure purpose not mentioned above,5.1,3.7,
0,2011,place,,39.3,25.8,city/large town
1,2011,place,,28.1,15.3,small town
2,2011,place,,11.5,6.6,village
3,2011,place,,16.5,7.6,rural countryside
4,2011,place,,6.8,3.1,seaside resort or town
5,2011,place,,4.4,2.6,seaside coastline - a beach
6,2011,place,,1.5,0.7,other seaside coastline
7,2011,place,,2.7,0.7,other
8,2012,place,,45.5,29.8,city/large town
9,2012,place,,30.1,13.9,small town
10,2012,place,,11.8,6.7,village
11,2012,place,,16.5,7.9,rural countryside
12,2012,place,,5.5,3.3,seaside resort or town
13,2012,place,,4.2,2.0,seaside coastline - a beach
14,2012,place,,1.9,0.3,other seaside coastline
15,2012,place,,2.4,1.1,other
16,2013,place,,38.1,30.2,city/large town
17,2013,place,,24.7,12.7,small town
18,2013,place,,11.4,5.3,village
19,2013,place,,13.6,7.1,rural countryside
20,2013,place,,5.4,3.4,seaside resort or town
21,2013,place,,3.7,1.4,seaside coastline - a beach
22,2013,place,,1.8,1.1,other seaside coastline
23,2013,place,,1.3,1.1,other
24,2014,place,,38.8,29.2,city/large town
25,2014,place,,23.6,16.3,small town
26,2014,place,,8.7,5.4,village
27,2014,place,,12.7,8.6,rural countryside
28,2014,place,,5.3,4.2,seaside resort or town
29,2014,place,,3.5,1.6,seaside coastline - a beach
30,2014,place,,0.7,1.8,other seaside coastline
31,2015,place,,35.2,32.3,city/large town
32,2015,place,,21.9,15.2,small town
33,2015,place,,7.7,5.0,village
34,2015,place,,14.1,5.8,rural countryside
35,2015,place,,4.7,3.8,seaside resort or town
36,2015,place,,3.3,1.4,seaside coastline - a beach
37,2015,place,,1.1,0.7,other seaside coastline
38,2016,place,,35.4,25.7,city/large town
39,2016,place,,23.6,15.0,small town
40,2016,place,,9.4,7.4,village
41,2016,place,,14.0,7.4,rural countryside
42,2016,place,,4.8,2.3,seaside resort or town
43,2016,place,,2.7,2.0,seaside coastline - a beach
44,2016,place,,1.0,1.0,other seaside coastline
45,2017,place,,33.5,36.6,city/large town
46,2017,place,,21.5,18.5,small town
47,2017,place,,9.2,9.5,village
48,2017,place,,12.8,8.2,rural countryside
49,2017,place,,5.4,3.8,seaside resort or town
50,2017,place,,5.3,3.0,seaside coastline - a beach
51,2017,place,,0.7,1.0,other seaside coastline
52,2018,place,,36.9,26.6,city/large town
53,2018,place,,18.6,19.0,small town
54,2018,place,,9.3,6.1,village
55,2018,place,,10.7,6.4,rural countryside
56,2018,place,,4.4,3.3,seaside resort or town
57,2018,place,,3.4,1.9,seaside coastline - a beach
58,2018,place,,0.3,1.5,other seaside coastline
59,2019,place,,34.3,24.5,city/large town
60,2019,place,,22.9,13.6,small town
61,2019,place,,8.5,7.8,village
62,2019,place,,11.7,6.9,rural countryside
63,2019,place,,4.8,4.2,seaside resort or town
64,2019,place,,2.9,3.8,seaside coastline - a beach
65,2019,place,,1.0,0.4,other seaside coastline
0,2011,transport,,72.3,31.2,
1,2011,transport,,71.2,29.9,
2,2011,transport,,1.0,1.3,
3,2011,transport,,12.1,13.6,
4,2011,transport,,6.1,6.7,
5,2011,transport,,5.9,6.9,
6,2011,transport,,1.5,0.7,
7,2011,transport,,3.4,1.4,
8,2011,transport,,6.1,5.7,
9,2011,transport,,0.3,0.4,
10,2011,transport,,0.4,0.3,
11,2011,transport,,0.1,0.5,
12,2011,transport,,0.3,0.4,
13,2011,transport,,0.5,0.0,
14,2011,transport,,0.2,0.4,
15,2011,transport,,0.8,0.8,
16,2011,transport,,0.1,0.4,
17,2011,transport,,0.0,0.1,
18,2011,transport,,0.2,0.0,
19,2012,transport,,79.7,31.2,
20,2012,transport,,79.0,30.4,
21,2012,transport,,0.7,0.8,
22,2012,transport,,12.8,16.0,
23,2012,transport,,6.2,8.3,
24,2012,transport,,6.6,7.7,
25,2012,transport,,1.4,0.4,
26,2012,transport,,2.3,1.4,
27,2012,transport,,6.0,4.5,
28,2012,transport,,1.1,0.9,
29,2012,transport,,0.3,0.3,
30,2012,transport,,0.0,0.1,
31,2012,transport,,0.2,0.3,
32,2012,transport,,0.1,0.0,
33,2012,transport,,0.0,0.0,
34,2012,transport,,0.5,0.0,
35,2012,transport,,0.5,0.2,
36,2012,transport,,0.3,1.7,
37,2012,transport,,0.5,0.6,
38,2013,transport,,62.9,30.6,
39,2013,transport,,62.1,29.5,
40,2013,transport,,0.8,1.2,
41,2013,transport,,15.2,14.8,
42,2013,transport,,7.5,7.7,
43,2013,transport,,7.7,7.1,
44,2013,transport,,0.6,1.0,
45,2013,transport,,1.5,1.6,
46,2013,transport,,4.0,4.5,
47,2013,transport,,0.8,1.0,
48,2013,transport,,0.1,0.1,
49,2013,transport,,0.0,0.5,
50,2013,transport,,0.1,0.2,
51,2013,transport,,0.0,0.0,
52,2013,transport,,0.2,0.2,
53,2013,transport,,0.1,0.2,
54,2013,transport,,0.6,0.3,
55,2013,transport,,0.1,0.3,
56,2013,transport,,0.4,0.4,
57,2014,transport,,59.4,35.1,
58,2014,transport,,0.5,1.1,
59,2014,transport,,15.8,13.9,
60,2014,transport,,8.8,7.6,
61,2014,transport,,7.0,6.3,
62,2014,transport,,0.7,0.1,
63,2014,transport,,1.8,3.1,
64,2014,transport,,4.2,5.3,
65,2014,transport,,0.3,1.2,
66,2014,transport,,0.1,0.2,
67,2014,transport,,0.0,0.1,
68,2014,transport,,0.0,0.0,
69,2014,transport,,0.3,0.2,
70,2014,transport,,0.1,0.0,
71,2014,transport,,0.0,0.6,
72,2014,transport,,0.6,0.1,
73,2014,transport,,0.1,0.1,
74,2014,transport,,0.5,0.7,
75,2015,transport,,60.7,26.7,
76,2015,transport,,0.9,1.0,
77,2015,transport,,13.2,20.5,
78,2015,transport,,6.9,10.5,
79,2015,transport,,6.4,10.0,
80,2015,transport,,0.8,1.3,
81,2015,transport,,1.1,2.3,
82,2015,transport,,3.4,5.4,
83,2015,transport,,0.5,0.5,
84,2015,transport,,0.8,0.3,
85,2015,transport,,0.2,0.0,
86,2015,transport,,0.1,0.0,
87,2015,transport,,0.1,0.1,
88,2015,transport,,0.1,0.1,
89,2015,transport,,0.6,0.5,
90,2015,transport,,0.5,0.2,
91,2015,transport,,0.1,0.0,
92,2015,transport,,0.3,0.3,
93,2016,transport,,58.9,33.0,
94,2016,transport,,1.6,0.9,
95,2016,transport,,14.1,13.8,
96,2016,transport,,7.1,6.9,
97,2016,transport,,7.0,6.9,
98,2016,transport,,0.7,0.9,
99,2016,transport,,3.3,1.6,
100,2016,transport,,3.6,4.3,
101,2016,transport,,0.7,0.2,
102,2016,transport,,0.3,0.2,
103,2016,transport,,0.1,0.1,
104,2016,transport,,0.4,0.1,
105,2016,transport,,0.4,0.3,
106,2016,transport,,0.0,0.1,
107,2016,transport,,0.2,0.1,
108,2016,transport,,0.7,1.4,
109,2017,transport,,55.5,37.0,
110,2017,transport,,1.8,4.6,
111,2017,transport,,13.8,15.4,
112,2017,transport,,7.8,8.2,
113,2017,transport,,6.0,7.2,
114,2017,transport,,1.6,1.4,
115,2017,transport,,2.3,1.6,
116,2017,transport,,3.4,5.2,
117,2017,transport,,0.6,0.9,
118,2017,transport,,0.5,0.1,
119,2017,transport,,0.2,0.4,
120,2017,transport,,0.8,0.0,
121,2017,transport,,0.5,1.2,
122,2017,transport,,0.3,0.2,
123,2017,transport,,0.1,0.4,
124,2017,transport,,0.4,0.7,
125,2018,transport,,55.0,29.2,
126,2018,transport,,1.5,1.3,
127,2018,transport,,12.7,16.3,
128,2018,transport,,7.4,9.4,
129,2018,transport,,5.3,6.9,
130,2018,transport,,0.6,0.5,
131,2018,transport,,1.6,1.8,
132,2018,transport,,5.0,6.2,
133,2018,transport,,0.1,0.6,
134,2018,transport,,0.1,0.5,
135,2018,transport,,0.2,0.1,
136,2018,transport,,0.1,0.1,
137,2018,transport,,0.9,0.8,
138,2018,transport,,0.1,0.0,
139,2018,transport,,0.0,0.3,
140,2018,transport,,0.9,1.1,
141,2019,transport,,52.2,27.8,
142,2019,transport,,1.4,0.9,
143,2019,transport,,13.7,14.9,
144,2019,transport,,8.2,7.7,
145,2019,transport,,5.5,7.3,
146,2019,transport,,1.3,1.2,
147,2019,transport,,3.0,2.7,
148,2019,transport,,3.9,3.7,
149,2019,transport,,0.5,0.7,
150,2019,transport,,0.4,1.2,
151,2019,transport,,0.1,0.2,
152,2019,transport,,0.1,0.3,
153,2019,transport,,0.5,0.8,
154,2019,transport,,0.3,0.2,
155,2019,transport,,0.1,0.2,
156,2019,transport,,0.7,0.6,
