"Form of transport used on trip"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2419","1263","1156","226","447","307","378","468","593","1533","886","627","1792","2081","338","956","657","428","378","1324","162","195",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","137.8","67.8","69.9","27.5","29.6","17.6","17.4","23.0","22.8","79.1","58.7","40.7","97.1","114.5","23.3","45.0","39.7","29.3","23.7","77.2","14.8","15.2",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Form of transport used on trip","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Car - own/friends/family","84.2","40.2","44.0","13.2","17.4","11.4","11.5","15.4","15.3","55.0","29.2","28.2","56.0","78.8","5.4","31.0","23.4","17.7","12.2","49.1","5.4","9.6",
"","61.1%","59.2%","63.0%","48.0%","58.9%","65.2%","66.4%","66.9%","66.9%","69.6%","49.7%","69.4%","57.7%","68.9%","23.1%","68.8%","58.9%","60.2%","51.4%","63.6%","36.2%","62.9%",""

"Car - hired","2.7","2.1","0.6","1.2","1.0","0.2","0.2","-","-","1.5","1.3","0.5","2.2","2.3","0.4","1.4","0.3","0.7","0.4","1.8","0.9","-",
"","2.0%","3.1%","0.9%","4.5%","3.5%","1.0%","1.1%","0.2%","0.1%","1.8%","2.1%","1.2%","2.3%","2.1%","1.5%","3.1%","0.7%","2.3%","1.6%","2.3%","5.8%","",""

"Public transport","29.0","14.9","14.1","7.8","6.3","2.7","3.3","4.0","4.9","12.7","16.3","6.9","22.1","17.9","11.1","7.3","9.8","5.7","6.2","14.9","5.1","3.4",
"","21.0%","21.9%","20.2%","28.4%","21.4%","15.3%","18.7%","17.5%","21.5%","16.0%","27.8%","17.0%","22.8%","15.6%","47.9%","16.2%","24.7%","19.4%","26.1%","19.3%","34.7%","22.1%",""

"Train","16.8","9.1","7.7","5.3","4.0","2.0","2.3","2.1","1.1","7.4","9.4","4.0","12.8","11.9","4.9","3.6","6.9","3.9","2.4","10.1","3.3","1.8",
"","12.2%","13.4%","11.0%","19.2%","13.4%","11.2%","13.2%","9.3%","5.0%","9.3%","16.1%","9.9%","13.2%","10.4%","20.9%","8.1%","17.4%","13.2%","10.1%","13.1%","22.2%","12.2%",""

"A regular bus\coach","12.2","5.8","6.4","2.5","2.3","0.7","1.0","1.9","3.8","5.3","6.9","2.9","9.3","5.9","6.3","3.7","2.9","1.8","3.8","4.8","1.9","1.5",
"","8.8%","8.5%","9.2%","9.2%","7.9%","4.1%","5.5%","8.2%","16.5%","6.7%","11.7%","7.1%","9.6%","5.2%","26.9%","8.1%","7.4%","6.2%","15.9%","6.2%","12.5%","9.9%",""

"Organised coach tour","1.1","0.4","0.7","0.2","0.3","0.4","-","-","0.1","0.6","0.5","0.5","0.6","0.7","0.4","0.4","0.4","0.2","0.1","0.5","0.2","0.3",
"","0.8%","0.6%","1.0%","0.8%","0.9%","2.3%","0.3%","0.2%","0.6%","0.8%","0.8%","1.2%","0.6%","0.7%","1.6%","0.8%","1.0%","0.8%","0.6%","0.6%","1.4%","1.7%",""

"Taxi","3.5","2.0","1.5","0.8","1.0","0.2","0.7","0.3","0.5","1.6","1.8","1.1","2.4","2.3","1.2","1.0","1.1","0.5","0.9","2.1","0.3","0.7",
"","2.5%","2.9%","2.1%","3.1%","3.5%","1.1%","3.7%","1.1%","2.1%","2.1%","3.1%","2.7%","2.5%","2.0%","5.0%","2.1%","2.9%","1.6%","3.8%","2.7%","2.0%","4.8%",""

"Walked\on foot","11.2","5.5","5.8","2.7","1.9","2.1","1.2","2.4","0.9","5.0","6.2","2.3","9.0","8.0","3.2","2.8","3.2","3.2","2.0","6.0","1.9","0.9",
"","8.2%","8.1%","8.3%","9.7%","6.6%","12.0%","7.0%","10.3%","4.0%","6.4%","10.5%","5.6%","9.2%","7.0%","13.9%","6.1%","8.2%","11.1%","8.4%","7.8%","12.6%","6.0%",""

"Bicycle","0.7","0.6","0.2","0.5","-","0.1","-","0.1","-","0.1","0.6","-","0.7","0.7","-","0.1","0.6","0.1","-","0.2","0.4","0.1",
"","0.5%","0.8%","0.2%","1.8%","","0.5%","0.1%","0.6%","","0.2%","1.0%","","0.7%","0.6%","0.2%","0.1%","1.4%","0.3%","0.1%","0.2%","2.6%","0.5%",""

"Tube","0.6","0.5","0.1","0.4","0.1","0.1","-","-","-","0.1","0.5","-","0.6","0.1","0.5","0.4","-","-","0.1","0.5","-","-",
"","0.4%","0.7%","0.1%","1.3%","0.2%","0.6%","","0.1%","","0.1%","0.8%","","0.6%","0.1%","2.0%","1.0%","0.1%","0.1%","0.3%","0.6%","","",""

"Tram","0.3","0.1","0.3","0.1","0.2","-","-","-","-","0.2","0.1","0.1","0.2","0.2","0.1","0.1","0.2","-","0.1","0.2","0.1","-",
"","0.2%","0.1%","0.4%","0.3%","0.6%","","0.3%","","0.2%","0.3%","0.2%","0.3%","0.2%","0.2%","0.4%","0.2%","0.4%","","0.3%","0.3%","0.6%","",""

"Motorised caravan\campervan","0.2","0.1","-","-","0.1","-","-","0.1","-","0.1","0.1","-","0.1","0.1","0.1","-","0.1","-","-","0.1","-","-",
"","0.1%","0.2%","0.1%","","0.3%","","","0.3%","","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","","0.3%","0.2%","","0.2%","","",""

"Plane","1.7","0.5","1.2","0.2","0.6","0.1","-","0.3","0.5","0.9","0.8","0.6","1.1","1.5","0.2","0.4","0.1","0.4","0.8","0.8","0.2","0.1",
"","1.2%","0.7%","1.7%","0.7%","2.1%","0.4%","","1.2%","2.3%","1.1%","1.4%","1.5%","1.1%","1.3%","0.8%","1.0%","0.3%","1.2%","3.2%","1.1%","1.5%","0.4%",""

"Boat\ship\ferry","0.2","0.1","-","-","-","-","-","0.1","-","0.1","-","-","0.2","0.1","0.1","0.1","0.1","-","-","0.1","-","-",
"","0.1%","0.2%","0.1%","","0.2%","","0.2%","0.3%","0.2%","0.2%","0.1%","","0.2%","0.1%","0.4%","0.1%","0.3%","","","0.1%","","",""

"Lorry\truck\van","0.3","0.2","0.2","0.2","0.1","-","-","-","-","-","0.3","-","0.3","0.1","0.3","-","0.1","-","0.2","0.1","0.2","-",
"","0.3%","0.2%","0.3%","0.8%","0.3%","","","0.1%","","","0.5%","","0.4%","0.1%","1.1%","","0.2%","0.2%","1.0%","0.1%","1.5%","0.1%",""

"Other","2.0","0.8","1.2","0.1","0.5","0.3","0.4","0.3","0.4","0.9","1.1","0.4","1.5","1.6","0.4","0.2","0.2","0.8","0.8","0.9","0.1","0.2",
"","1.4%","1.1%","1.8%","0.5%","1.5%","1.6%","2.2%","1.3%","1.9%","1.2%","1.8%","1.1%","1.6%","1.4%","1.9%","0.4%","0.6%","2.7%","3.3%","1.1%","1.0%","1.4%",""
