"Form of transport used on trip"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2412","1072","1340","204","364","362","402","567","513","1595","817","547","1865","2089","323","954","659","435","364","1304","184","184",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","142.0","62.4","79.6","23.8","23.0","24.9","17.2","25.8","27.5","85.1","56.9","33.8","108.2","120.1","21.9","50.1","41.9","24.8","25.2","78.1","16.8","10.8",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Form of transport used on trip","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Car - own/friends/family","91.9","38.1","53.8","12.6","13.1","16.7","12.0","18.6","18.9","58.9","33.0","19.7","72.2","85.6","6.3","35.0","26.4","14.8","15.8","50.2","10.1","7.1",
"","64.7%","61.0%","67.6%","53.1%","57.0%","67.1%","70.1%","72.4%","68.6%","69.2%","58.1%","58.4%","66.7%","71.3%","28.9%","69.9%","62.9%","59.4%","62.7%","64.2%","59.8%","65.2%",""

"Car - hired","2.5","1.2","1.3","0.6","1.0","0.5","0.2","0.1","0.2","1.6","0.9","1.5","1.1","2.2","0.4","0.7","0.5","0.7","0.7","1.7","0.6","0.2",
"","1.8%","2.0%","1.7%","2.6%","4.4%","1.9%","1.0%","0.3%","0.7%","1.9%","1.6%","4.3%","1.0%","1.8%","1.7%","1.4%","1.1%","2.7%","2.9%","2.1%","3.3%","2.1%",""

"Public transport","27.9","13.4","14.5","5.3","5.9","4.4","2.5","4.7","5.1","14.1","13.8","8.0","20.0","16.9","11.0","7.4","10.0","4.8","5.8","14.7","3.0","2.7",
"","19.7%","21.5%","18.2%","22.4%","25.5%","17.9%","14.4%","18.4%","18.4%","16.6%","24.2%","23.5%","18.4%","14.1%","50.1%","14.7%","23.8%","19.2%","23.0%","18.9%","17.8%","25.0%",""

"Train","14.1","7.4","6.7","3.1","3.7","2.6","1.5","1.8","1.3","7.1","6.9","4.9","9.1","9.3","4.8","4.0","5.4","2.5","2.2","8.3","1.5","1.9",
"","9.9%","11.8%","8.4%","13.3%","16.2%","10.3%","8.8%","7.2%","4.7%","8.4%","12.2%","14.6%","8.4%","7.8%","21.7%","8.0%","12.8%","9.9%","8.9%","10.6%","9.0%","17.3%",""

"A regular bus\coach","13.8","6.1","7.8","2.2","2.1","1.9","1.0","2.9","3.8","7.0","6.9","3.0","10.8","7.6","6.2","3.4","4.6","2.3","3.6","6.4","1.5","0.8",
"","9.7%","9.7%","9.8%","9.1%","9.3%","7.6%","5.6%","11.3%","13.8%","8.2%","12.1%","8.9%","10.0%","6.3%","28.4%","6.7%","11.0%","9.3%","14.1%","8.2%","8.8%","7.7%",""

"Organised coach tour","1.6","1.0","0.5","0.6","-","0.1","0.2","0.1","0.5","0.7","0.9","0.5","1.0","1.2","0.3","0.5","0.2","0.4","0.4","0.4","0.6","-",
"","1.1%","1.6%","0.7%","2.5%","0.1%","0.5%","1.1%","0.3%","2.0%","0.8%","1.5%","1.6%","0.9%","1.0%","1.4%","1.0%","0.6%","1.8%","1.5%","0.5%","3.4%","",""

"Taxi","4.9","3.5","1.4","1.5","0.7","0.9","1.0","0.3","0.5","3.3","1.6","1.9","3.1","4.4","0.5","1.5","0.7","2.2","0.6","3.9","0.5","-",
"","3.5%","5.6%","1.8%","6.5%","2.8%","3.5%","5.8%","1.3%","1.9%","3.9%","2.7%","5.5%","2.8%","3.6%","2.5%","3.0%","1.6%","8.8%","2.3%","5.0%","3.0%","0.4%",""

"Walked\on foot","7.9","3.4","4.5","1.4","1.7","1.7","0.8","1.1","1.3","3.6","4.3","1.4","6.5","5.7","2.2","2.9","2.4","1.5","1.1","4.6","1.1","0.4",
"","5.6%","5.4%","5.7%","5.7%","7.3%","7.0%","4.4%","4.3%","4.6%","4.3%","7.5%","4.3%","6.0%","4.8%","10.0%","5.8%","5.7%","5.9%","4.6%","5.9%","6.7%","4.1%",""

"Bicycle","0.9","0.2","0.6","-","0.3","0.2","-","0.3","0.1","0.7","0.2","0.3","0.5","0.8","0.1","0.7","-","-","0.1","0.5","-","0.1",
"","0.6%","0.4%","0.8%","","1.1%","0.8%","0.2%","1.2%","0.2%","0.8%","0.3%","1.0%","0.5%","0.7%","0.3%","1.4%","","0.2%","0.5%","0.6%","","1.2%",""

"Tube","0.5","0.1","0.4","0.3","-","-","0.1","-","0.1","0.3","0.2","0.1","0.4","0.2","0.3","0.2","0.2","0.1","-","0.3","0.1","-",
"","0.4%","0.2%","0.5%","1.1%","","0.1%","0.6%","0.1%","0.3%","0.3%","0.4%","0.3%","0.4%","0.2%","1.3%","0.4%","0.5%","0.4%","0.1%","0.3%","0.7%","0.2%",""

"Tram","0.2","-","0.2","-","-","0.1","-","-","-","0.1","0.1","0.1","0.1","0.2","-","0.1","-","0.1","-","0.2","-","-",
"","0.1%","","0.2%","","0.1%","0.5%","","0.1%","0.1%","0.1%","0.1%","0.2%","0.1%","0.2%","","0.2%","0.1%","0.2%","0.1%","0.2%","","",""

"Motorised caravan\campervan","0.5","-","0.5","0.1","-","0.1","0.1","0.1","0.1","0.4","0.1","-","0.5","0.4","0.1","0.2","0.2","0.1","0.1","0.2","0.1","-",
"","0.4%","0.1%","0.6%","0.3%","","0.5%","0.4%","0.6%","0.4%","0.5%","0.2%","","0.5%","0.4%","0.4%","0.3%","0.4%","0.5%","0.3%","0.3%","0.5%","",""

"Plane","0.7","0.2","0.5","0.1","0.2","0.1","-","-","0.2","0.4","0.3","0.1","0.6","0.5","0.2","-","0.3","0.2","0.1","0.4","0.1","-",
"","0.5%","0.3%","0.6%","0.6%","1.0%","0.3%","","","0.7%","0.5%","0.5%","0.3%","0.5%","0.4%","0.8%","","0.8%","1.0%","0.3%","0.5%","0.6%","",""

"Boat\ship\ferry","0.1","-","0.1","0.1","-","-","-","-","-","-","0.1","-","0.1","-","0.1","-","0.1","-","-","-","0.1","-",
"","0.1%","","0.1%","0.3%","","","","","0.1%","","0.1%","","0.1%","","0.4%","","0.2%","","","","0.5%","",""

"Lorry\truck\van","0.3","0.1","0.2","0.1","-","-","0.1","0.1","-","0.2","0.1","-","0.3","0.2","0.1","0.1","-","-","0.2","0.1","-","0.1",
"","0.2%","0.2%","0.2%","0.5%","","","0.5%","0.4%","","0.2%","0.2%","","0.3%","0.2%","0.5%","0.2%","","","0.8%","0.1%","","0.9%",""

"Other","2.1","1.1","1.0","1.0","0.1","-","0.3","0.2","0.5","0.7","1.4","0.2","1.9","1.7","0.4","0.9","1.0","-","0.2","1.0","0.6","0.1",
"","1.5%","1.7%","1.3%","4.3%","0.5%","","1.5%","0.6%","1.9%","0.8%","2.4%","0.6%","1.8%","1.4%","1.7%","1.8%","2.3%","","0.8%","1.2%","3.7%","0.9%",""
