"Start month of trip"
"Base : Total trips (including child trips)"

"All Scotland"
"All figures shown in thousands - except unweighted base"
"Tables based on start date of trip"
"","","SEX",,"AGE",,,,,,"CHILDREN IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,,,
"","TOTAL","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Yes","No","A","B","C1","C2","D","E",
"Unweighted Base","1864","927","937","199","295","395","347","329","299","647","1216","117","432","574","367","169","205",
"","","","","","","","","","","","","","","","","","",""

"Weighted Base","13360","6963","6397","1377","2150","3263","2628","2351","1592","4193","9168","952","3638","4225","2565","1224","756",
"","","","","","","","","","","","","","","","","","",""

"Jan 2011","637","331","306","61","138","166","112","119","42","219","419","79","151","241","91","32","44",
"","5%","5%","5%","4%","6%","5%","4%","5%","3%","5%","5%","8%","4%","6%","4%","3%","6%",""

"Feb 2011","906","362","544","121","255","183","157","97","93","358","549","68","241","259","151","144","43",
"","7%","5%","9%","9%","12%","6%","6%","4%","6%","9%","6%","7%","7%","6%","6%","12%","6%",""

"Mar 2011","866","468","398","92","169","180","175","146","105","279","587","10","177","315","151","97","117",
"","6%","7%","6%","7%","8%","6%","7%","6%","7%","7%","6%","1%","5%","7%","6%","8%","15%",""

"Apr 2011","1209","589","620","137","185","331","193","226","137","447","763","74","253","434","342","52","53",
"","9%","8%","10%","10%","9%","10%","7%","10%","9%","11%","8%","8%","7%","10%","13%","4%","7%",""

"May 2011","1093","521","572","115","129","221","175","327","126","303","790","112","253","327","206","117","77",
"","8%","7%","9%","8%","6%","7%","7%","14%","8%","7%","9%","12%","7%","8%","8%","10%","10%",""

"Jun 2011","1280","751","528","114","193","260","308","256","149","309","970","176","400","365","170","109","60",
"","10%","11%","8%","8%","9%","8%","12%","11%","9%","7%","11%","18%","11%","9%","7%","9%","8%",""

"Jul 2011","1593","814","779","154","247","429","324","222","217","539","1054","53","578","369","341","153","100",
"","12%","12%","12%","11%","12%","13%","12%","9%","14%","13%","11%","6%","16%","9%","13%","12%","13%",""

"Aug 2011","1466","761","705","151","208","240","327","318","223","429","1037","108","426","434","263","157","77",
"","11%","11%","11%","11%","10%","7%","12%","14%","14%","10%","11%","11%","12%","10%","10%","13%","10%",""

"Sep 2011","1135","603","532","119","118","242","278","192","185","287","848","89","297","337","202","149","60",
"","8%","9%","8%","9%","6%","7%","11%","8%","12%","7%","9%","9%","8%","8%","8%","12%","8%",""

"Oct 2011","1271","710","561","76","195","392","289","184","135","410","861","98","251","523","257","96","46",
"","10%","10%","9%","6%","9%","12%","11%","8%","8%","10%","9%","10%","7%","12%","10%","8%","6%",""

"Nov 2011","642","406","236","77","60","209","106","90","100","219","423","31","164","193","177","46","31",
"","5%","6%","4%","6%","3%","6%","4%","4%","6%","5%","5%","3%","4%","5%","7%","4%","4%",""

"Dec 2011","1262","646","616","161","251","409","185","175","81","394","868","54","447","427","214","72","47",
"","9%","9%","10%","12%","12%","13%","7%","7%","5%","9%","9%","6%","12%","10%","8%","6%","6%",""
