Month,TOTAL,Male,Female,16-24,25-34,35-44,45-54,55-64,65+,Yes,No,A,B,C1,C2,D,E
Weighted Base,12752,6625,6128,1262,2141,2289,2891,2306,1863,3591,9161,1057,3892,3598,2518,1109,579
Jan 2012,546,332,214,64,37,162,120,107,56,149,397,52,173,90,115,73,44
Feb 2012,713,368,346,99,103,183,146,119,64,230,483,92,236,151,124,62,49
Mar 2012,705,328,378,93,145,116,101,134,117,177,529,77,163,216,144,69,36
Apr 2012,1289,595,695,175,204,258,264,194,195,425,865,71,501,316,277,80,45
May 2012,1196,665,531,134,199,159,305,171,227,287,909,61,383,361,230,120,40
Jun 2012,973,520,453,113,116,126,240,164,216,196,777,46,256,336,200,101,35
Jul 2012,1410,749,661,79,229,243,426,243,190,482,929,223,338,482,229,86,52
Aug 2012,1611,823,789,168,305,258,379,349,153,480,1131,94,524,453,357,126,57
Sep 2012,988,466,522,37,199,114,176,251,212,247,741,167,241,238,208,90,44
Oct 2012,1009,555,455,58,177,194,260,190,130,380,630,14,379,263,197,117,39
Nov 2012,999,543,456,50,201,249,134,203,161,198,800,45,325,287,218,66,58
Dec 2012,1310,682,629,193,226,228,339,182,143,340,970,116,372,404,218,120,80
