activity,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
visited friends or family for leisure,47.0,18.7,28.3,8.6,7.3,6.9,6.4,7.5,10.3,26.0,21.0,11.5,35.5,36.0,11.0,14.7,14.7,7.4,10.2,24.6,4.6,3.1,
'special' shopping for items that you do not regularly buy,19.6,8.1,11.4,3.8,2.9,2.2,3.2,3.8,3.7,11.2,8.4,3.4,16.2,16.2,3.4,7.3,5.3,3.0,4.0,12.0,0.4,1.6,
went out for a meal,36.1,14.6,21.6,5.1,4.4,5.2,5.6,8.6,7.2,22.4,13.7,6.7,29.5,30.3,5.8,12.7,12.4,4.9,6.2,21.7,1.6,1.4,
"went on a night out to a bar, pub and/or club",22.7,13.3,9.4,7.1,3.8,3.3,3.3,3.4,1.8,10.1,12.6,6.4,16.3,18.1,4.6,7.9,6.3,4.3,4.2,16.3,1.6,1.8,
"went out for entertainment - to a cinema, concert or theatre",13.2,6.4,6.8,2.0,2.4,2.1,2.1,3.1,1.5,6.9,6.3,3.3,9.9,10.7,2.5,4.8,3.5,1.6,3.3,9.0,1.3,0.9,
"undertook outdoor leisure activities such as walking, cycling, golf, etc.",24.8,13.0,11.7,5.7,2.5,4.2,3.1,5.2,4.0,13.2,11.6,4.4,20.3,18.7,6.1,8.1,8.9,3.4,4.4,13.6,3.0,2.7,
"took part in other leisure activities such as hobbies, evening classes, etc (outside of your home)",9.7,5.8,3.8,3.0,1.5,1.8,0.9,1.4,1.1,4.8,4.9,2.0,7.7,8.8,0.9,4.8,1.9,1.6,1.4,7.2,0.4,0.4,
"took part in sports, including exercise classes, going to the gym, etc.",5.4,3.3,2.1,1.0,0.9,1.4,0.7,1.0,0.4,2.9,2.5,2.3,3.1,4.8,0.6,2.1,1.3,0.7,1.3,3.5,0.4,0.6,
watched live sporting events (not on tv),10.5,8.1,2.4,0.3,1.4,3.0,1.7,2.9,1.3,6.4,4.1,3.1,7.4,8.8,1.7,3.8,2.5,1.9,2.2,6.6,0.7,0.9,
"went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",13.1,6.1,7.0,3.6,1.9,2.5,1.1,2.9,1.0,8.4,4.7,3.2,9.9,8.7,4.4,4.6,3.5,1.8,3.2,7.7,1.6,1.5,
"went to a special public event such as a festival, exhibition, etc.",8.7,3.7,5.0,0.9,1.9,1.7,0.9,1.7,1.5,5.3,3.4,2.3,6.5,7.4,1.3,4.3,2.2,0.5,1.7,5.5,0.7,0.4,
"went to special events of a personal nature such as a wedding, graduation, christening, etc.",5.0,2.1,2.8,0.2,1.2,1.2,0.7,0.9,0.7,3.2,1.8,2.3,2.7,4.1,0.8,1.3,1.7,0.7,1.3,3.2,0.6,0.5,
"went on a day out to a beauty or health spa/centre, etc",2.0,0.9,1.1,0.5,0.4,0.2,0.2,0.6,0.1,1.4,0.6,0.5,1.5,1.4,0.6,0.6,0.4,0.3,0.6,1.0,0.7,0.1,
went on general days out/ to explore an area,22.0,9.8,12.2,5.7,3.7,3.0,3.0,3.5,3.1,12.8,9.2,5.0,17.0,17.9,4.1,8.1,6.4,2.4,5.1,12.1,2.8,1.4,
went on day trips/excursions for other leisure purpose not mentioned above,11.7,4.3,7.4,3.2,1.2,1.9,1.3,1.8,2.2,7.0,4.6,2.8,8.9,8.2,3.5,4.8,2.7,1.0,3.2,6.6,1.6,0.6,
