activity,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
visiting friends or family for leisure,47.2,19.0,28.2,7.3,8.6,5.8,8.0,8.1,9.3,28.7,18.5,10.8,36.4,36.7,10.5,14.0,14.8,8.8,9.6,24.6,4.4,19.0,
'special' shopping for items that you do not regularly buy,17.3,7.1,10.2,2.7,2.8,2.6,3.1,3.3,2.8,11.6,5.8,4.7,12.7,13.8,3.5,5.6,5.8,3.4,2.5,9.0,0.9,7.5,
going out for a meal,33.6,14.4,19.2,5.7,5.4,4.2,5.0,5.1,8.2,20.5,13.1,6.1,27.5,27.6,6.1,12.4,10.3,5.5,5.4,17.3,4.0,13.4,
"going on a night out to a bar, pub and/or club",20.5,13.1,7.4,4.9,4.5,3.7,3.2,1.4,2.8,11.9,8.6,5.2,15.3,16.2,4.3,6.0,7.1,4.3,3.1,13.9,2.8,4.8,
"going out for entertainment - to a cinema, concert or theatre",12.6,6.5,6.1,3.4,2.7,1.6,1.6,1.2,2.1,7.3,5.3,3.6,9.0,10.5,2.1,4.4,4.3,1.9,1.9,6.8,2.0,3.9,
"undertaking outdoor leisure activities such as walking, cycling, golf, etc.",24.7,13.9,10.8,2.7,4.1,3.4,4.7,5.1,4.7,15.7,9.0,5.7,19.0,20.1,4.6,7.2,7.4,5.3,4.8,14.6,1.5,8.9,
"taking part in other leisure activities such as hobbies, evening classes, etc (outside of your home)",7.1,3.2,4.0,1.8,1.4,1.1,1.2,0.8,0.9,3.3,3.8,2.6,4.5,5.3,1.8,1.9,2.5,0.9,1.9,4.6,0.8,2.0,
"taking part in sports, including events or competitions",6.2,4.2,2.0,2.1,1.1,1.1,0.6,0.5,0.8,3.3,2.9,1.9,4.3,4.5,1.7,1.8,2.6,1.3,0.6,3.5,1.1,1.6,
watching live sporting events (not on tv),9.7,6.8,2.8,1.7,2.4,2.0,1.8,0.8,1.1,6.1,3.5,3.3,6.4,7.5,2.2,2.1,3.2,2.5,1.8,6.3,1.3,2.5,
"going to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.",12.4,5.3,7.1,2.2,3.1,1.3,1.1,2.4,2.2,7.6,4.8,3.3,9.1,9.4,3.0,3.9,5.4,1.5,1.6,6.5,2.0,4.2,
"going to special public event such as a festival, exhibition, etc.",6.3,2.5,3.8,0.6,1.3,1.0,1.4,0.2,1.7,4.1,2.2,1.5,4.8,5.0,1.3,2.3,2.4,1.1,0.5,4.2,0.2,2.0,
"going to special events of a personal nature such as a wedding, graduation, christening, etc.",4.4,2.7,1.7,0.5,1.1,1.0,0.7,0.5,0.6,2.8,1.6,1.6,2.8,3.6,0.8,1.3,1.3,1.0,0.8,3.5,0.1,0.8,
"going on days out to a beauty/health centre/spa, etc.",1.1,0.3,0.8,0.2,0.7,0.1,0.0,0.1,0.1,0.8,0.3,0.6,0.5,0.9,0.2,0.3,0.4,0.4,0.0,0.8,0.2,0.1,
going on general days out/ to explore an area,19.5,9.3,10.1,3.1,3.4,2.7,3.5,3.5,3.2,12.9,6.5,5.3,14.2,16.5,2.9,7.5,5.9,2.9,3.2,11.2,1.9,7.2,
going on day trips/excursions for other leisure purpose not mentioned above,10.4,4.0,6.4,2.0,1.7,0.8,2.0,2.0,1.9,6.6,3.8,2.8,7.5,8.6,1.8,3.2,2.6,1.7,2.9,6.0,0.3,4.2,
