activity,total,male,female,16-24,25-34,35-44,45-54,55-64,65+,married,not married,yes,no,access to car (1+),no access to car (0),ab,c1,c2,de,employed/self-employed (full or part time),in full or part time education,unemployed/not working,
base: all respondents,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
all scotland,,,,,,,,,,,,,,,,,,,,,,,
, ,gender,,age,,,,,,marital status,,children in household,,car in household,,social grade,,,,working status,,,
,total,male,female,16-24,25-34,35-44,45-54,55-64,65,married,not married,yes,no,yes,no,ab,c1,c2,de,employed full or part time,in full or part time education,unemployed/not working,
 ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
unweighted base,2324,1101,1223,203,413,336,435,535,402,1514,810,592,1732,1896,428,876,778,329,341,1236,177,258,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
total,142.7,71.6,71.2,30.4,28.2,21.3,17.5,22.7,22.7,83.4,59.3,37.3,105.5,108.7,34.0,50.2,52.3,18.7,21.5,77.2,16.0,16.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
activities undertaken,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
visited friends or family for leisure,52.4,24.1,28.3,13.4,9.2,7.4,5.3,8.5,8.6,27.2,25.2,14.1,38.3,37.4,15.0,16.3,20.9,7.0,8.2,25.5,6.0,8.6,
,36.7%,33.7%,39.8%,44.2%,32.7%,34.8%,30.2%,37.3%,37.9%,32.6%,42.5%,37.9%,36.3%,34.4%,44.2%,32.5%,39.9%,37.6%,38.1%,33.1%,37.3%,51.4%,
,,,,,,,,,,,,,,,,,,,,,,,
'special' shopping for items that you do not regularly buy,18.4,7.7,10.8,3.4,4.2,2.9,2.5,2.9,2.6,12.2,6.2,5.7,12.7,13.9,4.5,6.6,5.6,2.8,3.4,9.8,1.7,2.9,
,12.9%,10.7%,15.2%,11.0%,15.0%,13.4%,14.3%,12.7%,11.6%,14.7%,10.4%,15.3%,12.1%,12.8%,13.2%,13.2%,10.7%,15.1%,15.7%,12.7%,10.8%,17.4%,
,,,,,,,,,,,,,,,,,,,,,,,
went out for a meal,39.6,17.9,21.8,6.5,7.5,5.2,5.1,7.3,7.9,23.4,16.2,10.0,29.6,32.4,7.2,14.7,15.2,4.5,5.2,21.3,3.4,4.0,
